Place,Competitor,DOB,Unnamed: 3,Score,Event List
1,Caterine IBARGUEN,12 FEB 1984,COL,1354,Long Jump
2,Malaika MIHAMBO,03 FEB 1994,GER,1343,Long Jump [Long Jump ind.]
3,Maryna BEKH-ROMANCHUK,18 JUL 1995,UKR,1298,Long Jump [Long Jump ind.]
4,Shara PROCTOR,16 SEP 1988,GBR,1287,Long Jump
5,Ivana ŠPANOVIĆ,10 MAY 1990,SRB,1281,Long Jump [Long Jump ind.]
6,Brooke STRATTON,12 JUL 1993,AUS,1278,Long Jump
7,Nastassia MIRONCHYK-IVANOVA,13 APR 1989,BLR,1261,Long Jump [Long Jump ind.]
8,Lorraine UGEN,22 AUG 1991,GBR,1244,Long Jump
9,Yelena SOKOLOVA,23 JUL 1986,ANA,1241,Long Jump
10,Naa ANANG,10 MAR 1995,AUS,1239,Long Jump
11,Sha'keela SAUNDERS,18 DEC 1993,USA,1235,Long Jump
12,Jazmin SAWYERS,21 MAY 1994,GBR,1229,Long Jump [Long Jump ind.]
13,Ese BRUME,20 JAN 1996,NGR,1221,Long Jump
14,Alina ROTARU,05 JUN 1993,ROU,1218,Long Jump [Long Jump ind.]
15,Eliane MARTINS,26 MAY 1986,BRA,1208,Long Jump
16,Tissanna HICKLING,07 JAN 1998,JAM,1207,Long Jump
17,Evelise VEIGA,03 MAR 1996,POR,1193,Long Jump
18,Christabel NETTEY,02 JUN 1991,CAN,1191,Long Jump
18,Khaddi SAGNIA,20 APR 1994,SWE,1191,Long Jump [Long Jump ind.]
20,Abigail IROZURU,03 JAN 1990,GBR,1184,Long Jump [Long Jump ind.]
21,Florentina Costina IUSCO,08 APR 1996,ROU,1180,Long Jump [Long Jump ind.]
22,Tilde JOHANSSON,05 JAN 2001,SWE,1173,Long Jump [Long Jump ind.]
23,Juliet ITOYA,17 AUG 1986,ESP,1172,Long Jump
24,Quanesha BURKS,15 MAR 1995,USA,1169,Long Jump [Long Jump ind.]
25,Hilary KPATCHA,05 MAY 1998,FRA,1166,Long Jump [Long Jump ind.]
26,Kate HALL,12 JAN 1997,USA,1165,Long Jump [Long Jump ind.]
26,Lynique BENEKE,30 MAR 1991,RSA,1165,Long Jump
28,Anasztázia NGUYEN,09 JAN 1993,HUN,1164,Long Jump [Long Jump ind.]
28,Minjia LU,29 DEC 1992,CHN,1164,Long Jump [Long Jump ind.]
30,Adriana RODRÍGUEZ,12 JUL 1999,CUB,1159,Long Jump
31,Katarina JOHNSON-THOMPSON,09 JAN 1993,GBR,1156,Long Jump [Long Jump ind.]
32,Macarena REYES,30 MAR 1984,CHI,1155,Long Jump
33,Chantel MALONE,02 DEC 1991,IVB,1151,Long Jump
33,Éloyse LESUEUR-AYMONIN,15 JUL 1988,FRA,1151,Long Jump [Long Jump ind.]
35,Kendell WILLIAMS,14 JUN 1995,USA,1150,Long Jump [Long Jump ind.]
36,Nektaria PANAGI,20 MAR 1990,CYP,1149,Long Jump
37,Laura STRATI,03 OCT 1990,ITA,1146,Long Jump [Long Jump ind.]
38,Yanis Esmeralda DAVID,12 DEC 1997,FRA,1145,Long Jump [Long Jump ind.]
39,Aliyah WHISBY,23 FEB 1998,USA,1144,Long Jump
40,Chanice PORTER,25 MAY 1994,JAM,1142,Long Jump [Long Jump ind.]
40,Jasmyn STEELS,,USA,1142,Long Jump [Long Jump ind.]
42,Marthe KOALA,08 MAR 1994,BUR,1141,Long Jump
42,Xiaoling XU,13 MAY 1992,CHN,1141,Long Jump [Long Jump ind.]
44,Fatima DIAME,22 SEP 1996,ESP,1140,Long Jump [Long Jump ind.]
44,Luying GONG,22 FEB 2000,CHN,1140,Long Jump
46,Jasmine TODD,23 DEC 1993,USA,1138,Long Jump
47,Taika KOILAHTI,04 DEC 1998,FIN,1136,Long Jump [Long Jump ind.]
48,Kylie PRICE,23 NOV 1993,USA,1135,Long Jump
49,Milica GARDAŠEVIC,28 AUG 1998,SRB,1134,Long Jump [Long Jump ind.]
49,Shuiqing CHEN,12 APR 2000,CHN,1134,Long Jump
51,Keila COSTA,06 FEB 1983,BRA,1133,Long Jump
52,Ya Xin YUE,17 MAR 1998,HKG,1131,Long Jump
53,Rougui SOW,07 JUN 1995,FRA,1130,Long Jump [Long Jump ind.]
54,Krystyna HRYSHUTYNA,21 MAR 1992,UKR,1128,Long Jump [Long Jump ind.]
55,Taishia PRYCE,,JAM,1127,Long Jump
56,Julia GERTER,13 JUL 1994,GER,1126,Long Jump
57,Tyra GITTENS,06 SEP 1998,TTO,1124,Long Jump
57,Malaina PAYTON,16 OCT 1991,USA,1124,Long Jump
57,Thu Thao BUI THI,29 APR 1992,VIE,1124,Long Jump
60,Sarea ALEXANDER,15 FEB 1996,USA,1121,Long Jump [Long Jump ind.]
60,Jessie HARPER,18 APR 1996,AUS,1121,Long Jump
62,Petra FARKAS,30 APR 1999,HUN,1120,Long Jump [Long Jump ind.]
63,Hanne MAUDENS,12 MAR 1997,BEL,1119,Long Jump [Long Jump ind.]
64,Jiawei ZHONG,07 FEB 1999,CHN,1117,Long Jump
64,Eljonè KRUGER,16 APR 1998,RSA,1117,Long Jump
66,Alysbeth FELIX BOYER,07 MAR 1993,PUR,1116,Long Jump
67,Andrea THOMPSON,02 OCT 1998,AUS,1115,Long Jump
68,Sumire HATA,04 MAY 1996,JPN,1114,Long Jump
68,Aries SANCHEZ,01 MAR 1996,VEN,1114,Long Jump
70,Hitomi NAKANO,23 NOV 1990,JPN,1112,Long Jump
70,Deborah ACQUAH,,GHA,1112,Long Jump [Long Jump ind.]
72,Lauma GRĪVA,27 OCT 1984,LAT,1110,Long Jump [Long Jump ind.]
73,Destiny LONGMIRE,06 FEB 1998,USA,1106,Long Jump [Long Jump ind.]
74,Erika KINSEY,10 MAR 1988,SWE,1105,Long Jump [Long Jump ind.]
74,Mara GRIVA,08 APR 1989,LAT,1105,Long Jump [Long Jump ind.]
74,Kaiza KARLÉN,04 DEC 1998,SWE,1105,Long Jump [Long Jump ind.]
77,Yekaterina KROPIVKO,13 JUN 1997,RUS,1103,Long Jump [Long Jump ind.]
78,Ayaka KORA,22 MAR 2001,JPN,1102,Long Jump
79,Elizabeth HEDDING,04 MAR 1996,AUS,1101,Long Jump
80,Darrielle MCQUEEN,29 MAY 1996,USA,1100,Long Jump
80,Malin MARMBRANDT,29 APR 1985,SWE,1100,Long Jump
82,Merle HOMEIER,27 AUG 1999,GER,1099,Long Jump [Long Jump ind.]
83,Paola MAUTINO,01 JUN 1990,PER,1096,Long Jump
84,Jessicca NOBLE,05 FEB 1997,JAM,1094,Long Jump
85,Todea-Kay WILLIS,23 NOV 1988,JAM,1092,Long Jump
86,Larissa IAPICHINO,18 JUL 2002,ITA,1091,Long Jump [Long Jump ind.]
87,Nadia WILLIAMS,,USA,1090,Long Jump [Long Jump ind.]
87,Genesis ROMERO,06 NOV 1995,VEN,1090,Long Jump [Long Jump ind.]
87,Rhesa FOSTER,25 MAY 1998,USA,1090,Long Jump [Long Jump ind.]
90,Erica JARDER,02 APR 1986,SWE,1089,Long Jump
90,Angela MOROŞANU,26 JUL 1986,ROU,1089,Long Jump
90,Tania VICENZINO,01 APR 1986,ITA,1089,Long Jump [Long Jump ind.]
90,Baiesha JOHNSON,01 FEB 1991,USA,1089,Long Jump
94,Kiara WILLIAMS,15 SEP 1996,USA,1087,Long Jump [Long Jump ind.]
95,Holly MILLS,15 APR 2000,GBR,1083,Long Jump [Long Jump ind.]
95,Yuliana ANGULO,06 JUN 1994,ECU,1083,Long Jump
97,Min-ji KIM,09 FEB 1990,KOR,1081,Long Jump
98,Polina LUKYANENKOVA,15 JUL 1998,RUS,1080,Long Jump [Long Jump ind.]
98,Jovanna KLACZYNSKI,1994,GER,1080,Long Jump [Long Jump ind.]
98,Zinzi CHABANGU,28 SEP 1996,RSA,1080,Long Jump
101,Hafdís SIGURDJARDÓTTIR,12 FEB 1987,ISL,1079,Long Jump [Long Jump ind.]
101,Magdalena ŻEBROWSKA,29 MAY 1996,POL,1079,Long Jump
101,María VICENTE,28 MAR 2001,ESP,1079,Long Jump [Long Jump ind.]
101,Tristine JOHNSON,28 SEP 1992,USA,1079,Long Jump [Long Jump ind.]
105,Milena MITKOVA,26 JAN 1990,BUL,1077,Long Jump [Long Jump ind.]
105,Haido ALEXOULI,29 MAR 1991,GRE,1077,Long Jump [Long Jump ind.]
105,Michelle FOKAM,08 JUN 1998,USA,1077,Long Jump [Long Jump ind.]
105,Tay-Leiha CLARK,08 FEB 1998,AUS,1077,Long Jump
109,Lea-Jasmin RIECKE,25 APR 2000,GER,1075,Long Jump [Long Jump ind.]
110,Tiphaine MAUCHANT,05 APR 2001,FRA,1074,Long Jump [Long Jump ind.]
110,Eleni KOUTSALIARI,27 JUN 1998,GRE,1074,Long Jump [Long Jump ind.]
110,Filippa FOTOPOULOU,20 DEC 1996,CYP,1074,Long Jump
113,Jerayah DAVIS,15 APR 1996,USA,1073,Long Jump
113,Maria Natalia LONDA,29 OCT 1990,INA,1073,Long Jump
115,Yarianny ARGÜELLES,14 APR 1984,POR,1072,Long Jump [Long Jump ind.]
115,Jogailė PETROKAITE,30 SEP 1995,LTU,1072,Long Jump
117,Tianna BARTOLETTA,30 AUG 1985,USA,1071,Long Jump
118,Kika VAN BERGEN EN HENEGOUWEN,28 AUG 1997,NED,1070,Long Jump [Long Jump ind.]
118,G'Auna EDWARDS,16 FEB 1999,USA,1070,Long Jump
118,Spyridoula KARYDI,30 JAN 2001,GRE,1070,Long Jump
121,Maelly DALMAT,01 OCT 2001,FRA,1069,Long Jump [Long Jump ind.]
121,Jessica BARREIRA,29 JAN 1997,POR,1069,Long Jump [Long Jump ind.]
123,Josie OLIARNYK,27 MAR 2000,GBR,1068,Long Jump
124,Diana LESTI,30 MAR 1998,HUN,1066,Long Jump [Long Jump ind.]
124,Alexis FAULKNOR,22 SEP 1994,USA,1066,Long Jump
126,Klaudia ENDRÉSZ,06 FEB 2001,HUN,1065,Long Jump [Long Jump ind.]
126,Kristal LIBURD,22 AUG 1997,SKN,1065,Long Jump [Long Jump ind.]
126,Efthymia KOLOKYTHA,09 JUL 1987,GRE,1065,Long Jump
126,Claire BRYANT,25 AUG 2001,USA,1065,Long Jump
130,Leticia GIL,26 AUG 1991,ESP,1064,Long Jump [Long Jump ind.]
130,Eva BASTMEIJER,20 JUN 1995,NED,1064,Long Jump [Long Jump ind.]
132,Alice HOPKINS,30 DEC 1998,GBR,1063,Long Jump [Long Jump ind.]
132,Neja FILIPIČ,22 APR 1995,SLO,1063,Long Jump [Long Jump ind.]
132,Marie MBUYA MALA,01 AUG 1994,FRA,1063,Long Jump [Long Jump ind.]
132,Lucy HADAWAY,11 JUN 2000,GBR,1063,Long Jump [Long Jump ind.]
132,Kala PENN,31 JUL 1998,IVB,1063,Long Jump [Long Jump ind.]
132,Yurina HIRAKA,04 JUN 1991,JPN,1063,Long Jump
138,Samiyah SAMUELS,02 OCT 1997,USA,1062,Long Jump [Long Jump ind.]
139,Alismaidy TAMAYO,23 JUN 1998,CUB,1061,Long Jump
140,Ivona DADIC,29 DEC 1993,AUT,1060,Long Jump [Long Jump ind.]
140,Xenia STOLZ,14 JAN 1989,GER,1060,Long Jump
142,Jordan GRAY,28 DEC 1995,USA,1059,Long Jump [Long Jump ind.]
143,Inne CHEETHAM-WEST,,USA,1057,Long Jump [Long Jump ind.]
143,Susana HERNÁNDEZ,18 JAN 1999,MEX,1057,Long Jump
143,Ja'la HENDERSON,,USA,1057,Long Jump [Long Jump ind.]
143,Viyaleta SKVARTSOVA,15 APR 1998,BLR,1057,Long Jump [Long Jump ind.]
147,Ayele GERKEN,17 MAY 2000,GER,1056,Long Jump [Long Jump ind.]
148,Solene NDAMA,23 SEP 1998,FRA,1055,Long Jump [Long Jump ind.]
148,Marestella SUNANG,20 FEB 1981,PHI,1055,Long Jump
148,Anna KRASUTSKA,20 JUL 1995,UKR,1055,Long Jump
148,Irati MITXELENA,03 JUL 1998,ESP,1055,Long Jump
152,Anastasia DRAGOMIROVA,22 JAN 2003,GRE,1054,Long Jump
152,Renate VAN TONDER,10 APR 1998,RSA,1054,Long Jump [Long Jump ind.]
152,Tugba DANIŞMAZ,09 JAN 1999,TUR,1054,Long Jump
155,Xénia KRIZSÁN,13 JAN 1993,HUN,1053,Long Jump [Long Jump ind.]
155,Annik KÄLIN,27 APR 2000,SUI,1053,Long Jump [Long Jump ind.]
155,Shantae FOREMAN,22 OCT 2002,JAM,1053,Long Jump
155,Jana VELĎÁKOVÁ,03 JUN 1981,SVK,1053,Long Jump [Long Jump ind.]
155,Jasmine MOORE,01 MAY 2001,USA,1053,Long Jump [Long Jump ind.]
155,Anne-Mari LEHTIÖ,06 SEP 1995,FIN,1053,Long Jump [Long Jump ind.]
155,Alexis GIBBONS,,USA,1053,Long Jump [Long Jump ind.]
155,Joanna KURYŁO,16 AUG 1995,POL,1053,Long Jump [Long Jump ind.]
155,Konomi KAI,10 JUL 1993,JPN,1053,Long Jump
155,Danni CHEN,24 SEP 1997,CHN,1053,Long Jump [Long Jump ind.]
165,Janelle PERRY,,USA,1052,Long Jump [Long Jump ind.]
165,Savannah CARSON,30 MAR 1995,USA,1052,Long Jump [Long Jump ind.]
165,Chiara PROVERBIO,06 NOV 1997,ITA,1052,Long Jump [Long Jump ind.]
165,Divyajyoti BISWAL,1993,CAN,1052,Long Jump
169,Ingeborg GRÜNWALD,21 MAY 2001,AUT,1051,Long Jump [Long Jump ind.]
169,Michaela KUČEROVÁ,01 AUG 1992,CZE,1051,Long Jump [Long Jump ind.]
169,Maria HUNTINGTON,13 MAR 1997,FIN,1051,Long Jump
172,Anastasiya CHEREMISINA,14 JUN 1994,UKR,1050,Long Jump [Long Jump ind.]
