Place,Competitor,DOB,Unnamed: 3,Score,Event List
1,Orlando ORTEGA,29 JUL 1991,ESP,1435,110mH
2,Pascal MARTINOT-LAGARDE,22 SEP 1991,FRA,1390,110mH [60mH ind.]
3,Grant HOLLOWAY,19 NOV 1997,USA,1385,110mH [60mH ind.]
4,Sergey SHUBENKOV,04 OCT 1990,RUS,1382,110mH
5,Wenjun XIE,11 JUL 1990,CHN,1366,110mH
6,Omar MCLEOD,25 APR 1994,JAM,1353,110mH
7,Ronald LEVY,30 OCT 1992,JAM,1331,110mH
8,Freddie CRITTENDEN,03 AUG 1994,USA,1329,110mH
9,Daniel ROBERTS,13 NOV 1997,USA,1327,110mH [60mH ind.]
10,Wilhem BELOCIAN,22 JUN 1995,FRA,1324,110mH [60mH ind.]
11,Andrew POZZI,15 MAY 1992,GBR,1319,110mH [60mH ind.]
12,Shane BRATHWAITE,08 FEB 1990,BAR,1314,110mH
13,Devon ALLEN,12 DEC 1994,USA,1303,110mH
14,Gabriel CONSTANTINO,09 FEB 1995,BRA,1293,110mH [60mH ind.]
15,Yaqoub Mohamed AL YOUHA,31 JAN 1993,KUW,1290,110mH [60mH ind.]
16,Damian CZYKIER,10 AUG 1992,POL,1274,110mH [60mH ind.]
17,Milan TRAJKOVIC,17 MAR 1992,CYP,1273,110mH [60mH ind.]
18,Antonio ALKANA,12 APR 1990,RSA,1263,110mH
19,Gregor TRABER,02 DEC 1992,GER,1248,110mH
20,Kuei-Ru CHEN,22 SEP 1993,TPE,1241,110mH
21,Eduardo RODRIGUES,08 OCT 1995,BRA,1241,110mH [60mH ind.]
22,Konstantinos DOUVALIDIS,10 MAR 1987,GRE,1240,110mH [60mH ind.]
23,Shunya TAKAYAMA,03 SEP 1994,JPN,1238,110mH
24,Valdó SZŰCS,29 JUN 1995,HUN,1233,110mH [60mH ind.]
25,Jason JOSEPH,11 OCT 1998,SUI,1227,110mH
26,Nicholas HOUGH,20 OCT 1993,AUS,1223,110mH
27,Aurel MANGA,24 JUL 1992,FRA,1223,110mH [60mH ind.]
28,Dimitri BASCOU,20 JUL 1987,FRA,1218,110mH
29,Hassane FOFANA,28 APR 1992,ITA,1215,110mH [60mH ind.]
30,Michael DICKSON,25 JAN 1997,USA,1214,110mH [60mH ind.]
31,Jarret EATON,24 JUN 1989,USA,1213,110mH [60mH ind.]
32,Aleec HARRIS,31 OCT 1990,USA,1213,110mH [60mH ind.]
33,Aaron MALLETT,26 SEP 1994,USA,1212,110mH [60mH ind.]
34,Taio KANAI,28 SEP 1995,JPN,1209,110mH [60mH ind.]
35,Jonathas Filipe DA SILVA BRITO,30 NOV 1992,BRA,1204,110mH
36,Andrew RILEY,06 SEP 1988,JAM,1202,110mH
37,Lorenzo PERINI,22 JUL 1994,ITA,1202,110mH [60mH ind.]
38,David KING,13 JUN 1994,GBR,1200,110mH [60mH ind.]
39,Elmo LAKKA,10 APR 1993,FIN,1195,110mH [60mH ind.]
40,Jianhang ZENG,17 SEP 1998,CHN,1193,110mH
41,Shunsuke IZUMIYA,26 JAN 2000,JPN,1190,110mH
42,Greggmar SWIFT,16 FEB 1991,BAR,1186,110mH [60mH ind.]
43,Michael OBASUYI,12 AUG 1999,BEL,1186,110mH [60mH ind.]
44,Vitali PAROKHONKA,18 AUG 1993,BLR,1184,110mH [60mH ind.]
45,Cameron FILLERY,02 NOV 1998,GBR,1182,110mH
46,Artyom MAKARENKO,23 APR 1997,RUS,1180,110mH [60mH ind.]
47,Trey CUNNINGHAM,26 AUG 1998,USA,1178,110mH [60mH ind.]
48,Paolo DAL MOLIN,31 JUL 1987,ITA,1175,110mH [60mH ind.]
49,David YEFREMOV,15 JAN 1999,KAZ,1174,110mH [60mH ind.]
50,Konstantin SHABANOV,17 NOV 1989,RUS,1173,110mH [60mH ind.]
51,Shuhei ISHIKAWA,29 MAY 1995,JPN,1173,110mH [60mH ind.]
52,Orlando BENNETT,12 OCT 1999,JAM,1172,110mH
53,Artur NOGA,02 MAY 1988,POL,1172,110mH [60mH ind.]
54,Ruebin WALTERS,02 APR 1995,TTO,1170,110mH [60mH ind.]
55,Paulo Henrique DA SILVA,29 JUN 1995,BRA,1170,110mH
56,Damian WARNER,04 NOV 1989,CAN,1167,110mH [60mH ind.]
57,Erik BALNUWEIT,21 SEP 1988,GER,1163,110mH [60mH ind.]
58,Amine BOUANANI,17 OCT 1997,ALG,1161,110mH
59,Isaiah MOORE,12 JUN 1996,USA,1160,110mH [60mH ind.]
60,Siddhanth THINGALAYA,01 MAR 1991,IND,1157,110mH
61,Wataru YAZAWA,02 JUL 1991,JPN,1154,110mH
62,Kevin MAYER,10 FEB 1992,FRA,1153,110mH
63,Deuce CARTER,28 SEP 1990,JAM,1153,110mH
64,Higashi ISHIDA-THOMAS,14 APR 1997,JPN,1152,110mH [60mH ind.]
65,Ludovic PAYEN,18 FEB 1995,FRA,1151,110mH
66,Yohan CHAVERRA,21 MAR 1995,COL,1149,110mH
67,Enrique LLOPIS,15 OCT 2000,ESP,1146,110mH [60mH ind.]
68,Wei-Ting YANG,22 SEP 1994,TPE,1145,110mH
69,João Vitor DE OLIVEIRA,15 MAY 1992,POR,1144,110mH [60mH ind.]
70,Robert DUNNING,23 JUN 1997,USA,1142,110mH [60mH ind.]
71,Anthony Tyrell KURIKI,17 SEP 1996,JPN,1142,110mH
72,Nicholas ANDREWS,02 FEB 1997,AUS,1137,110mH
73,Roger IRIBARNE,02 JAN 1996,CUB,1135,110mH
74,Michael O'HARA,29 SEP 1996,JAM,1131,110mH
75,Jeffrey JULMIS,30 SEP 1987,HAI,1130,110mH
