Place,Competitor,DOB,Unnamed: 3,Score,Event List
1,Grant HOLLOWAY,19 NOV 1997,USA,1497,110mH
2,Trey CUNNINGHAM,26 AUG 1998,USA,1426,110mH
3,Rasheed BROADBELL,13 AUG 2000,JAM,1422,110mH
4,Asier MARTÍNEZ,22 APR 2000,ESP,1387,110mH [60mH ind.]
5,Hansle PARCHMENT,17 JUN 1990,JAM,1378,110mH
6,Daniel ROBERTS,13 NOV 1997,USA,1373,110mH [60mH ind.]
7,Jamal BRITT,28 DEC 1998,USA,1362,110mH
8,Jason JOSEPH,11 OCT 1998,SUI,1361,110mH [60mH ind.]
9,Devon ALLEN,12 DEC 1994,USA,1360,110mH
10,Just KWAOU-MATHEY,04 DEC 1999,FRA,1342,110mH
11,Freddie CRITTENDEN,03 AUG 1994,USA,1340,110mH
12,Shunsuke IZUMIYA,26 JAN 2000,JPN,1340,110mH
13,Damian CZYKIER,10 AUG 1992,POL,1322,110mH
14,Eric EDWARDS,03 JAN 2000,USA,1310,110mH
15,Roger IRIBARNE,02 JAN 1996,CUB,1308,110mH [60mH ind.]
16,Joshua ZELLER,19 OCT 2000,GBR,1304,110mH
17,Pascal MARTINOT-LAGARDE,22 SEP 1991,FRA,1301,110mH [60mH ind.]
18,Rafael PEREIRA,08 APR 1997,BRA,1301,110mH
19,Wilhem BELOCIAN,22 JUN 1995,FRA,1297,110mH
20,Enrique LLOPIS,15 OCT 2000,ESP,1289,110mH [60mH ind.]
21,Orlando BENNETT,12 OCT 1999,JAM,1280,110mH
22,Shane BRATHWAITE,08 FEB 1990,BAR,1274,110mH
23,Robert DUNNING,23 JUN 1997,USA,1273,110mH [60mH ind.]
24,Michael DICKSON,25 JAN 1997,USA,1268,110mH [60mH ind.]
25,Antonio ALKANA,12 APR 1990,RSA,1264,110mH
26,Shunya TAKAYAMA,03 SEP 1994,JPN,1258,110mH
27,Amine BOUANANI,17 OCT 1997,ALG,1257,110mH
28,Tyler MASON,15 NOV 1995,JAM,1250,110mH
29,Milan TRAJKOVIC,17 MAR 1992,CYP,1249,110mH [60mH ind.]
30,Shuhei ISHIKAWA,29 MAY 1995,JPN,1245,110mH [60mH ind.]
31,Cordell TINCH,13 JUL 2000,USA,1245,110mH
32,Lorenzo Ndele SIMONELLI,01 JUN 2002,ITA,1244,110mH [60mH ind.]
33,Damion THOMAS,29 JUN 1999,JAM,1244,110mH [60mH ind.]
34,Andrew POZZI,15 MAY 1992,GBR,1242,110mH
35,Louis François MENDY,02 MAR 1999,SEN,1239,110mH
36,Jakub SZYMAŃSKI,22 JUL 2002,POL,1236,110mH [60mH ind.]
37,Hassane FOFANA,28 APR 1992,ITA,1223,110mH [60mH ind.]
38,Eduardo RODRIGUES,08 OCT 1995,BRA,1220,110mH
39,Darius LUFF,29 JAN 2001,USA,1218,110mH [60mH ind.]
40,Sasha ZHOYA,25 JUN 2002,FRA,1215,110mH
41,Max HRELJA,30 JAN 1998,SWE,1214,110mH [60mH ind.]
42,Krzysztof KILJAN,30 DEC 1999,POL,1213,110mH [60mH ind.]
43,Tade OJORA,14 OCT 1999,GBR,1211,110mH [60mH ind.]
44,David KING,13 JUN 1994,GBR,1209,110mH [60mH ind.]
45,Finley GAIO,15 APR 1999,SUI,1208,110mH [60mH ind.]
46,Nicholas HOUGH,20 OCT 1993,AUS,1207,110mH
47,Sergey SHUBENKOV,04 OCT 1990,RUS,1207,110mH
48,Giano ROBERTS,12 FEB 2000,JAM,1207,110mH [60mH ind.]
49,Yaqoub ALYOUHA,31 JAN 1993,KUW,1203,110mH [60mH ind.]
50,Phillip LEMONIOUS,12 DEC 1998,JAM,1198,110mH
51,De'Vion WILSON,18 MAY 2000,USA,1198,110mH
52,Taiga YOKOCHI,01 OCT 2000,JPN,1198,110mH
53,Jacob MCCORRY,20 NOV 1997,AUS,1196,110mH
54,Jaheem HAYLES,20 MAR 2001,JAM,1194,110mH [60mH ind.]
55,Kuei-Ru CHEN,22 SEP 1993,TPE,1192,110mH [60mH ind.]
56,Zhuoyi XU,21 AUG 2003,CHN,1191,110mH
57,Aurel MANGA,24 JUL 1992,FRA,1191,110mH [60mH ind.]
58,Dimitri BASCOU,20 JUL 1987,FRA,1191,110mH [60mH ind.]
59,Caleb DEAN,20 JUN 2001,USA,1190,110mH [60mH ind.]
60,Shenglong ZHU,25 JAN 2000,CHN,1189,110mH
61,Higashi ISHIDA-THOMAS,14 APR 1997,JPN,1188,110mH
62,Nick ANDREWS,02 FEB 1997,AUS,1186,110mH
63,Louis ROLLINS,30 SEP 1996,USA,1186,110mH [60mH ind.]
64,Devon BROOKS,20 OCT 1998,USA,1186,110mH
65,Vladimir VUKICEVIC,06 MAY 1991,NOR,1186,110mH [60mH ind.]
66,Elmo LAKKA,10 APR 1993,FIN,1186,110mH [60mH ind.]
67,Dylan BEARD,05 APR 1998,USA,1185,110mH [60mH ind.]
68,Jeremie LARARAUDEUSE,31 MAR 2001,MRI,1184,110mH
69,Joel BENGTSSON,06 MAY 1999,SWE,1184,110mH
70,Rachid MURATAKE,06 FEB 2002,JPN,1183,110mH
71,Connor SCHULMAN,02 JUL 2001,USA,1176,110mH
72,Gabriel CONSTANTINO,09 FEB 1995,BRA,1176,110mH
73,Vitali PARAKHONKA,18 AUG 1993,BLR,1175,110mH
74,Cameron MURRAY,12 DEC 1999,USA,1172,110mH [60mH ind.]
75,Daniel CISNEROS,02 JUN 1996,ESP,1171,110mH [60mH ind.]
76,Bálint SZELES,09 NOV 1998,HUN,1170,110mH [60mH ind.]
77,Saguirou BADAMASSI,28 NOV 2000,NIG,1170,110mH
78,Junxi LIU,11 DEC 2003,CHN,1169,110mH [60mH ind.]
79,Ryota FUJII,29 JUL 1996,JPN,1168,110mH
80,Ryo TOKUOKA,27 SEP 1999,JPN,1166,110mH
81,Antoine ANDREWS,12 APR 2003,BAH,1166,110mH [60mH ind.]
82,Johnny BRACKINS,29 JUL 2003,USA,1166,110mH [60mH ind.]
83,Kevin SÁNCHEZ,27 MAR 1999,ESP,1165,110mH [60mH ind.]
84,Shusei NOMOTO,25 OCT 1995,JPN,1164,110mH
85,Rasheem BROWN,22 MAR 2000,CAY,1162,110mH
86,Romain LECOEUR,09 AUG 1997,FRA,1162,110mH [60mH ind.]
87,Ken TOYODA,15 OCT 2002,JPN,1160,110mH
88,Mikdat SEVLER,21 JAN 1998,TUR,1160,110mH [60mH ind.]
