Place,Competitor,DOB,Unnamed: 3,Score,Event List
1,Grant HOLLOWAY,19 NOV 1997,USA,1503,110mH [60mH]
2,Hansle PARCHMENT,17 JUN 1990,JAM,1453,110mH
3,Daniel ROBERTS,13 NOV 1997,USA,1449,110mH
4,Shunsuke IZUMIYA,26 JAN 2000,JPN,1416,110mH
5,Freddie CRITTENDEN,03 AUG 1994,USA,1404,110mH
6,Jason JOSEPH,11 OCT 1998,SUI,1382,110mH
7,Lorenzo Ndele SIMONELLI,01 JUN 2002,ITA,1361,110mH [60mH]
8,Wilhem BELOCIAN,22 JUN 1995,FRA,1351,110mH
9,Cordell TINCH,13 JUL 2000,USA,1339,110mH
10,Just KWAOU-MATHEY,04 DEC 1999,FRA,1338,110mH [60mH]
11,Jamal BRITT,28 DEC 1998,USA,1332,110mH
12,Trey CUNNINGHAM,26 AUG 1998,USA,1331,110mH [60mH]
13,Enrique LLOPIS,15 OCT 2000,ESP,1330,110mH [60mH]
14,Sasha ZHOYA,25 JUN 2002,FRA,1326,110mH
15,Eric EDWARDS,03 JAN 2000,USA,1303,110mH
16,Tyler MASON,15 NOV 1995,JAM,1301,110mH
17,Asier MARTÍNEZ,22 APR 2000,ESP,1300,110mH [60mH]
18,Rachid MURATAKE,06 FEB 2002,JPN,1295,110mH
19,Orlando BENNETT,12 OCT 1999,JAM,1291,110mH
20,Roger IRIBARNE,02 JAN 1996,CUB,1289,110mH [60mH]
21,Milan TRAJKOVIC,17 MAR 1992,CYP,1287,110mH [60mH]
22,Shunya TAKAYAMA,03 SEP 1994,JPN,1286,110mH
23,Eduardo RODRIGUES,08 OCT 1995,BRA,1286,110mH [60mH]
24,Rasheed BROADBELL,13 AUG 2000,JAM,1284,110mH [60mH]
25,Zhuoyi XU,21 AUG 2003,CHN,1283,110mH
26,Louis François MENDY,02 MAR 1999,SEN,1280,110mH
27,Michael OBASUYI,12 AUG 1999,BEL,1277,110mH [60mH]
28,Tade OJORA,14 OCT 1999,GBR,1276,110mH [60mH]
29,Michael DICKSON,25 JAN 1997,USA,1271,110mH [60mH]
30,Jakub SZYMAŃSKI,22 JUL 2002,POL,1257,110mH [60mH]
31,Dylan BEARD,15 SEP 1998,USA,1256,110mH [60mH]
32,Yaqoub ALYOUHA,31 JAN 1993,KUW,1255,110mH [60mH]
33,Joshua ZELLER,19 OCT 2000,GBR,1254,110mH
34,Rafael PEREIRA,08 APR 1997,BRA,1251,110mH
35,Amine BOUANANI,17 OCT 1997,ALG,1250,110mH
36,John CABANG,27 AUG 2001,PHI,1250,110mH [60mH]
37,David YEFREMOV,15 JAN 1999,KAZ,1249,110mH [60mH]
38,Darius LUFF,29 JAN 2001,USA,1247,110mH
39,Junxi LIU,11 DEC 2003,CHN,1246,110mH [60mH]
40,Elie BACARI,14 OCT 2003,BEL,1245,110mH [60mH]
41,Damion THOMAS,29 JUN 1999,JAM,1245,110mH [60mH]
42,Elmo LAKKA,10 APR 1993,FIN,1244,110mH [60mH]
43,Damian CZYKIER,10 AUG 1992,POL,1244,110mH [60mH]
44,Shenglong ZHU,25 JAN 2000,CHN,1243,110mH
45,Omar MCLEOD,25 APR 1994,JAM,1242,110mH
46,Antonio ALKANA,12 APR 1990,RSA,1241,110mH
47,Tayleb WILLIS,18 MAR 2003,AUS,1238,110mH
48,David KING,13 JUN 1994,GBR,1238,110mH [60mH]
49,Raphaël MOHAMED,02 FEB 1998,FRA,1237,110mH
50,Cameron MURRAY,12 DEC 1999,USA,1236,110mH [60mH]
51,Enzo DIESSL,06 JUN 2004,AUT,1235,110mH [60mH]
52,Louis ROLLINS,30 SEP 1996,USA,1235,110mH [60mH]
53,Ja'Kobe THARP,30 SEP 2005,USA,1233,110mH
54,Martín SÁENZ DE SANTA MARÍA,17 JAN 2001,CHI,1233,110mH [60mH]
55,Robert DUNNING,23 JUN 1997,USA,1226,110mH
56,Weibo QIN,29 DEC 2002,CHN,1225,110mH [60mH]
57,Max HRELJA,30 JAN 1998,SWE,1224,110mH [60mH]
58,Andrew POZZI,15 MAY 1992,GBR,1221,110mH [60mH]
59,Aurel MANGA,24 JUL 1992,FRA,1221,110mH [60mH]
60,Krzysztof KILJAN,30 DEC 1999,POL,1220,110mH [60mH]
61,Hassane FOFANA,28 APR 1992,ITA,1219,110mH
62,Xiaohan NING,24 JAN 2000,CHN,1218,110mH [60mH]
63,Taiga YOKOCHI,01 OCT 2000,JPN,1216,110mH
64,De'Vion WILSON,18 MAY 2000,USA,1216,110mH [60mH]
65,Ja'qualon SCOTT,,USA,1215,110mH [60mH]
66,Mark HEIDEN,14 AUG 2002,NED,1214,110mH
67,Craig THORNE,03 JAN 2001,CAN,1212,110mH
68,Pascal MARTINOT-LAGARDE,22 SEP 1991,FRA,1211,110mH [60mH]
69,Brayan ROJAS,12 SEP 1997,COL,1206,110mH [60mH]
70,Mikdat SEVLER,21 JAN 1998,TUR,1204,110mH
71,Job GEERDS,12 JUL 2002,NED,1204,110mH [60mH]
72,Antoine ANDREWS,12 APR 2003,BAH,1203,110mH [60mH]
73,Manuel MORDI,15 AUG 2003,GER,1203,110mH [60mH]
74,Vitali PARAKHONKA,18 AUG 1993,BLR,1201,110mH [60mH]
75,Malachi SNOW,,USA,1200,110mH
76,Shusei NOMOTO,25 OCT 1995,JPN,1200,110mH
77,Tatsuki ABE,03 AUG 2003,JPN,1200,110mH
78,Chris DOUGLAS,10 FEB 1997,AUS,1199,110mH [60mH]
79,Romain LECOEUR,09 AUG 1997,FRA,1198,110mH [60mH]
80,Saguirou BADAMASSI,28 NOV 2000,NIG,1196,110mH [60mH]
81,Connor SCHULMAN,02 JUL 2001,USA,1195,110mH [60mH]
82,Alin Ionuț ANTON,01 JAN 2000,ROU,1194,110mH
83,Johnny BRACKINS,29 JUL 2003,USA,1193,110mH [60mH]
84,Filip Jakob DEMŠAR,03 APR 2000,SLO,1193,110mH [60mH]
85,Jeremie LARARAUDEUSE,31 MAR 2001,MRI,1190,110mH [60mH]
86,Dimitri BASCOU,20 JUL 1987,FRA,1190,110mH [60mH]
87,Ryota MACHI,30 APR 2001,JPN,1189,110mH [60mH]
88,Rasheem BROWN,22 MAR 2000,CAY,1188,110mH
89,Denner CORDEIRO,16 JUL 1998,BRA,1187,110mH [60mH]
90,Santeri KUUSINIEMI,10 OCT 1998,FIN,1187,110mH
91,Shuhei ISHIKAWA,29 MAY 1995,JPN,1186,110mH
92,Lafranz CAMPBELL,19 OCT 1997,JAM,1185,110mH [60mH]
93,Daniel CISNEROS,02 JUN 1996,ESP,1185,110mH
94,Bálint SZELES,09 NOV 1998,HUN,1185,110mH
95,Tim EIKERMANN,15 FEB 2000,GER,1183,110mH [60mH]
96,Tejas SHIRSE,04 JUN 2002,IND,1182,110mH [60mH]
97,Jerome CAMPBELL,20 NOV 2002,JAM,1182,110mH
98,Jacob MCCORRY,20 NOV 1997,AUS,1181,110mH
99,Ryota FUJII,29 JUL 1996,JPN,1179,110mH [60mH]
100,Simon EHAMMER,07 FEB 2000,SUI,1178,110mH [60mH]
101,Erwann CINNA,26 SEP 2003,FRA,1177,110mH
102,Gabriel CONSTANTINO,09 FEB 1995,BRA,1176,110mH
103,Shane BRATHWAITE,08 FEB 1990,BAR,1175,110mH
104,Matteo NGO,23 MAR 1998,FRA,1175,110mH [60mH]
105,Daniel HARROLD,,USA,1175,110mH [60mH]
106,Gyeongtae KIM,20 MAR 1997,KOR,1175,110mH [60mH]
107,Jason HOLMES-WILLIAMSON,2004,USA,1175,110mH [60mH]
108,Anatoliy KISELYOV,05 APR 2002,RUS,1174,110mH [60mH]
109,Artyom MAKARENKO,23 APR 1997,RUS,1174,110mH
110,Paris WILLIAMS,19 AUG 1998,USA,1174,110mH [60mH]
111,Thiago Resende ORNELAS DOS SANTOS,30 APR 2004,BRA,1173,110mH
112,Giano ROBERTS,12 FEB 2000,JAM,1172,110mH [60mH]
113,Matthew SOPHIA,17 DEC 2003,NED,1172,110mH [60mH]
114,Jaheem HAYLES,20 MAR 2001,JAM,1172,110mH [60mH]
115,Samuel BENNETT,,USA,1171,110mH
116,Joel BENGTSSON,06 MAY 1999,SWE,1169,110mH
117,Jaheim STERN,26 NOV 2002,JAM,1169,110mH
118,Timme KOSTER,12 DEC 2002,NED,1168,110mH
119,Kevin SÁNCHEZ,27 MAR 1999,ESP,1167,110mH
120,Demaris WATERS,07 JUN 2004,USA,1166,110mH
121,Tai BROWN,18 APR 2000,USA,1165,110mH [60mH]
122,Konstantinos DOUVALIDIS,10 MAR 1987,GRE,1163,110mH [60mH]
123,Mathieu JAQUET,09 JUL 1998,SUI,1161,110mH [60mH]
124,Jordani WOODLEY,12 NOV 2001,JAM,1160,110mH [60mH]
125,Orlando ORTEGA,29 JUL 1991,ESP,1159,110mH
126,Wenjun XIE,11 JUL 1990,CHN,1159,110mH
127,Finley GAIO,15 APR 1999,SUI,1159,110mH
128,Darius BROWN,30 NOV 2002,USA,1158,110mH [60mH]
129,Nolan VANCAUWEMBERGHE,02 AUG 2000,BEL,1158,110mH
130,Phillip LEMONIOUS,12 DEC 1998,JAM,1157,110mH [60mH]
131,Natthaphon DANSUNGNOEN,16 SEP 1997,THA,1156,110mH
132,Koen SMET,09 AUG 1992,NED,1156,110mH [60mH]
133,Giovanni WEARING,19 MAY 2004,USA,1156,110mH [60mH]
134,João Vitor DE OLIVEIRA,15 MAY 1992,POR,1154,110mH [60mH]
135,Thomas WILCOCK,29 MAY 2002,GBR,1153,110mH [60mH]
136,Yohan CHAVERRA,21 MAR 1995,COL,1152,110mH
137,Sergey SHUBENKOV,04 OCT 1990,RUS,1151,110mH
138,Yousuf BADAWY SAYED,07 FEB 2002,EGY,1151,110mH [60mH]
139,Vladimir VUKICEVIC,06 MAY 1991,NOR,1151,110mH
140,Bowen LIU,13 MAY 2001,CHN,1151,110mH [60mH]
141,Stephen ELOJI,01 MAY 2000,NGR,1151,110mH [60mH]
142,Yuanjiang CHEN,27 JAN 2006,CHN,1151,110mH [60mH]
143,Andre KORBMACHER,30 APR 2005,USA,1150,110mH [60mH]
144,Ronan GREFF,19 AUG 1998,FRA,1150,110mH
145,Ryo KOIKE,27 JUN 2003,JPN,1149,110mH
146,Damian WARNER,04 NOV 1989,CAN,1148,110mH
147,Matvey GERASIMOV,10 JUN 2003,RUS,1148,110mH [60mH]
148,Nicolo' GIACALONE,24 DEC 1997,ITA,1148,110mH
149,Jeanice LAVIOLETTE,25 JAN 2000,FRA,1147,110mH [60mH]
150,Ahmad YOUNG,19 MAY 2000,USA,1147,110mH
151,Abdel Kader LARRINAGA,13 JUL 1994,POR,1147,110mH [60mH]
152,De'jour RUSSELL,01 APR 2000,JAM,1144,110mH
153,Štěpán SCHUBERT,21 JUL 2003,CZE,1142,110mH [60mH]
154,Konstantin SHABANOV,17 NOV 1989,RUS,1142,110mH [60mH]
155,Odario PHILLIPS,20 APR 1997,JAM,1142,110mH
156,Tetsuro NISHI,05 FEB 2004,JPN,1141,110mH
157,Ergash NORMURADOV,17 SEP 1995,UZB,1140,110mH [60mH]
158,Richard DIAWARA,21 APR 1995,MLI,1140,110mH
159,Tyson WILLIAMS,2002,USA,1140,110mH
160,Yves CHERUBIN,28 FEB 1999,HAI,1140,110mH [60mH]
161,SW NEL,11 SEP 2002,RSA,1139,110mH
162,Yusuke TAKAHASHI,05 JUL 1996,JPN,1138,110mH
163,Nick ANDREWS,02 FEB 1997,AUS,1138,110mH
164,Mondray BARNARD,08 MAY 2002,RSA,1138,110mH
165,Kenny FLETCHER,21 APR 2001,FRA,1137,110mH
166,Max HAIRSTON,08 MAY 1994,USA,1137,110mH
167,John PAREDES,02 OCT 2002,COL,1137,110mH
168,Jayden SMITH,29 MAY 2003,USA,1136,110mH
169,Joseph DEROSIER,,USA,1136,110mH
170,Gratt REED,30 JUN 2000,USA,1136,110mH
171,Wellington ZAZA,20 JAN 1995,LBR,1135,110mH
172,Higashi ISHIDA-THOMAS,14 APR 1997,JPN,1135,110mH
173,Eli MORRIS,,USA,1135,110mH
174,Parker BOWDEN,02 JUL 1996,USA,1134,110mH
175,Daylin WILLIAMS,,USA,1134,110mH [60mH]
176,Mitchell LIGHTFOOT,22 JUL 2003,AUS,1133,110mH
177,DeVontae FORD,21 NOV 2003,USA,1133,110mH [60mH]
178,Jonathas Filipe DA SILVA BRITO,30 NOV 1992,BRA,1132,110mH
179,Ulric PORTIER,04 DEC 2003,FRA,1131,110mH [60mH]
180,François GRAILET,29 MAR 1994,LUX,1131,110mH
181,Alexander CHUKWUKELU,13 SEP 2004,USA,1131,110mH
182,Takumi MIYAZAKI,07 APR 2001,JPN,1131,110mH [60mH]
183,Ayden OWENS-DELERME,28 MAY 2000,PUR,1130,110mH
184,Ethan EXILHOMME,2003,USA,1130,110mH [60mH]
185,Abel Alejandro JORDAN,18 SEP 2003,ESP,1130,110mH [60mH]
