Place,Competitor,DOB,Unnamed: 3,Score,Event List
1,Sergey SHUBENKOV,04 OCT 1990,RUS,1406,110mH
2,Orlando ORTEGA,29 JUL 1991,ESP,1385,110mH [60mH ind.]
3,Omar MCLEOD,25 APR 1994,JAM,1351,110mH
4,Wenjun XIE,11 JUL 1990,CHN,1349,110mH
5,Andrew POZZI,15 MAY 1992,GBR,1328,110mH
6,Ronald LEVY,30 OCT 1992,JAM,1326,110mH
7,Gabriel CONSTANTINO,09 FEB 1995,BRA,1317,110mH
7,Wilhem BELOCIAN,22 JUN 1995,FRA,1317,110mH
9,Daniel ROBERTS,13 APR 1998,USA,1314,110mH
10,Pascal MARTINOT-LAGARDE,22 SEP 1991,FRA,1313,110mH [60mH ind.]
11,Freddie CRITTENDEN,03 AUG 1994,USA,1310,110mH [60mH ind.]
12,Milan TRAJKOVIC,17 MAR 1992,CYP,1295,110mH [60mH ind.]
13,Antonio ALKANA,12 APR 1990,RSA,1292,110mH
14,Grant HOLLOWAY,19 NOV 1997,USA,1286,110mH [60mH ind.]
15,Shane BRATHWAITE,08 FEB 1990,BAR,1278,110mH
16,Devon ALLEN,12 DEC 1994,USA,1273,110mH
17,Eduardo SANTOS RODRIGUES,08 OCT 1995,BRA,1271,110mH
18,Kuei-Ru CHEN,22 SEP 1993,TPE,1264,110mH
19,Jarret EATON,24 JUN 1989,USA,1260,110mH [60mH ind.]
20,Hansle PARCHMENT,17 JUN 1990,JAM,1254,110mH
21,Aurel MANGA,24 JUL 1992,FRA,1249,110mH [60mH ind.]
22,Shunsuke IZUMIYA,26 JAN 2000,JPN,1248,110mH
23,Konstantinos DOUVALIDIS,10 MAR 1987,GRE,1247,110mH [60mH ind.]
23,Hassane FOFANA,28 APR 1992,ITA,1247,110mH
25,Greggmar SWIFT,16 FEB 1991,BAR,1245,110mH
26,Shunya TAKAYAMA,03 SEP 1994,JPN,1244,110mH
27,Gregor TRABER,02 DEC 1992,GER,1242,110mH [60mH ind.]
28,Aleec HARRIS,31 OCT 1990,USA,1238,110mH [60mH ind.]
28,Nicholas HOUGH,20 OCT 1993,AUS,1238,110mH
30,Yaqoub Mohamed AL YOUHA,31 JAN 1993,KUW,1230,110mH
31,Damian CZYKIER,10 AUG 1992,POL,1229,110mH [60mH ind.]
32,Taio KANAI,28 SEP 1995,JPN,1217,110mH
32,Lorenzo PERINI,22 JUL 1994,ITA,1217,110mH
32,Jianhang ZENG,17 SEP 1998,CHN,1217,110mH [60mH ind.]
35,Aaron MALLET,26 SEP 1994,USA,1215,110mH [60mH ind.]
36,Andrew RILEY,06 SEP 1988,JAM,1213,110mH
37,David KING,13 JUN 1994,GBR,1212,110mH [60mH ind.]
38,Balázs BAJI,09 JUN 1989,HUN,1209,110mH [60mH ind.]
39,Shuhei ISHIKAWA,29 MAY 1995,JPN,1207,110mH
40,Johnathan CABRAL,31 DEC 1992,CAN,1206,110mH
41,Jason JOSEPH,11 OCT 1998,SUI,1205,110mH [60mH ind.]
42,Elmo LAKKA,10 APR 1993,FIN,1204,110mH [60mH ind.]
43,Jhon CHAVERRA,21 MAR 1995,COL,1200,110mH
44,Roger IRIBARNE,02 JAN 1996,CUB,1199,110mH [60mH ind.]
45,Vitali PAROKHONKA,18 AUG 1993,BLR,1196,110mH
46,Isaiah MOORE,12 JUN 1996,USA,1195,110mH
47,Jonathas Felipe DA SILVA,30 NOV 1992,BRA,1194,110mH
48,Ruan DE VRIES,01 FEB 1986,RSA,1185,110mH
49,Trey CUNNINGHAM,26 AUG 1998,USA,1183,110mH [60mH ind.]
49,Valdó SZŰCS,29 JUN 1995,HUN,1183,110mH [60mH ind.]
51,Artyom MAKARENKO,23 APR 1997,ANA,1182,110mH [60mH ind.]
52,Josh THOMPSON,16 JAN 1993,USA,1179,110mH [60mH ind.]
53,Konstantin SHABANOV,17 NOV 1989,RUS,1177,110mH [60mH ind.]
54,Dimitri BASCOU,20 JUL 1987,FRA,1176,110mH
55,Cameron FILLERY,02 NOV 1998,GBR,1174,110mH
55,Dashaun JACKSON,1997,USA,1174,110mH
57,Fanor ESCOBAR,17 DEC 1997,COL,1172,110mH
57,David YEFREMOV,15 JAN 1999,KAZ,1172,110mH
59,Michael DICKSON,25 JAN 1997,USA,1169,110mH
60,Paulo Henrique DA SILVA,29 JUN 1995,BRA,1168,110mH
61,Maximilian BAYER,05 DEC 1990,GER,1167,110mH
62,Nicholas ANDREWS,02 FEB 1997,AUS,1166,110mH
62,Michael OBASUYI,12 AUG 1999,BEL,1166,110mH [60mH ind.]
64,Orlando BENNETT,12 OCT 1999,JAM,1165,110mH
65,Ahmad Khader ALMUWALLAD,16 FEB 1988,KSA,1164,110mH
66,Michael NICHOLLS,06 APR 1997,BAR,1163,110mH [60mH ind.]
67,Yidiel CONTRERAS,27 NOV 1992,ESP,1161,110mH [60mH ind.]
68,Jeffery JULMIS,30 SEP 1987,HAI,1160,110mH [60mH ind.]
69,Erik BALNUWEIT,21 SEP 1988,GER,1159,110mH [60mH ind.]
70,Amere LATTIN,12 JUL 1997,USA,1157,110mH [60mH ind.]
71,Paolo DAL MOLIN,31 JUL 1987,ITA,1156,110mH
71,Wataru YAZAWA,02 JUL 1991,JPN,1156,110mH
73,Phillip LEMONIOUS,12 DEC 1998,JAM,1155,110mH
74,Damian WARNER,04 NOV 1989,CAN,1154,110mH
74,Deuce CARTER,28 SEP 1990,JAM,1154,110mH
74,Caleb PARKER,1998,USA,1154,110mH [60mH ind.]
77,Siddhanth THINGALAYA,01 MAR 1991,IND,1153,110mH
78,Eric EDWARDS,03 JAN 2000,USA,1152,110mH [60mH ind.]
79,Ruebin WALTERS,02 APR 1995,TTO,1151,110mH [60mH ind.]
79,Ludovic PAYEN,18 FEB 1995,FRA,1151,110mH
79,Byoungjun KIM,15 AUG 1991,KOR,1151,110mH
82,Zhenjiang SUN,25 JAN 1999,CHN,1149,110mH [60mH ind.]
83,Kevin MAYER,10 FEB 1992,FRA,1148,110mH [60mH ind.]
83,Trey HOLLOWAY,07 JUL 1994,USA,1148,110mH [60mH ind.]
85,Vladimir VUKICEVIC,06 MAY 1991,NOR,1147,110mH [60mH ind.]
85,João Vitor DE OLIVEIRA,15 MAY 1992,POR,1147,110mH [60mH ind.]
87,Wei-Ting YANG,22 SEP 1994,TPE,1146,110mH
88,Damion THOMAS,29 JUN 1999,JAM,1145,110mH [60mH ind.]
89,Chung Wang CHAN,06 OCT 1991,HKG,1144,110mH
90,Anthony Tyrell KURIKI,17 SEP 1996,JPN,1142,110mH
91,Enrique LLOPIS,15 OCT 2000,ESP,1140,110mH [60mH ind.]
92,Koen SMET,09 AUG 1992,NED,1139,110mH [60mH ind.]
93,Andreas MARTINSEN,17 JUL 1990,DEN,1138,110mH [60mH ind.]
94,Ryan FONTENOT,04 MAY 1986,USA,1137,110mH
94,Benjamin SEDECIAS,18 JAN 1995,FRA,1137,110mH
94,Eddie LOVETT,25 JUN 1992,ISV,1137,110mH
97,Hideki OMURO,25 JUL 1990,JPN,1135,110mH
98,Khai RILEY-LABORDE,08 NOV 1995,GBR,1134,110mH
98,Agustin CARRERA,13 JUN 1988,ARG,1134,110mH
98,Rohan COLE,28 OCT 1997,JAM,1134,110mH
101,Chad ZALLOW,25 APR 1997,USA,1133,110mH [60mH ind.]
101,Filipp SHABANOV,29 JAN 1991,RUS,1133,110mH [60mH ind.]
101,Michael O'HARA,29 SEP 1996,JAM,1133,110mH
104,Michał SIEROCKI,12 SEP 1999,POL,1132,110mH
105,Tai BROWN,18 APR 2000,USA,1131,110mH
105,Brendan AMES,06 OCT 1988,USA,1131,110mH [60mH ind.]
107,Jaylan MCCONICO,,USA,1130,110mH [60mH ind.]
107,Robert DUNNING,23 JUN 1997,USA,1130,110mH
109,Artur NOGA,02 MAY 1988,POL,1128,110mH [60mH ind.]
110,Jacob MCCORRY,20 NOV 1997,AUS,1126,110mH
111,Joshua HAWKINS,09 FEB 1994,NZL,1125,110mH
111,Ching Yeung MUI,08 MAR 1993,HKG,1125,110mH
113,Mikdat SEVLER,21 JAN 1998,TUR,1123,110mH [60mH ind.]
113,Louis François MENDY,02 MAR 1999,SEN,1123,110mH
115,Akihiro OGATA,08 JUN 1994,JPN,1122,110mH [60mH ind.]
115,Dawid ŻEBROWSKI,08 JAN 1997,POL,1122,110mH [60mH ind.]
115,Myles HUNTER,16 AUG 1995,USA,1122,110mH
118,John BURT,10 FEB 1997,USA,1121,110mH [60mH ind.]
118,Martin VOGEL,16 MAR 1992,GER,1121,110mH [60mH ind.]
120,Yordan O'FARRILL,09 FEB 1993,CUB,1118,110mH
120,Arthur PRICE,,USA,1118,110mH
122,Mohamed KOUSSI,15 MAR 1994,MAR,1117,110mH
