Place,Competitor,DOB,Unnamed: 3,Score,Event List
1,Hansle PARCHMENT,17 JUN 1990,JAM,1448,110mH
2,Devon ALLEN,12 DEC 1994,USA,1447,110mH
3,Grant HOLLOWAY,19 NOV 1997,USA,1432,110mH [60mH ind.]
4,Ronald LEVY,30 OCT 1992,JAM,1417,110mH
5,Pascal MARTINOT-LAGARDE,22 SEP 1991,FRA,1373,110mH [60mH ind.]
6,Asier MARTÍNEZ,22 APR 2000,ESP,1362,110mH [60mH ind.]
7,Rafael PEREIRA,08 APR 1997,BRA,1346,110mH [60mH ind.]
8,Daniel ROBERTS,13 NOV 1997,USA,1344,110mH
9,Andrew POZZI,15 MAY 1992,GBR,1330,110mH [60mH ind.]
10,Damian CZYKIER,10 AUG 1992,POL,1328,110mH [60mH ind.]
11,Aurel MANGA,24 JUL 1992,FRA,1315,110mH [60mH ind.]
12,Trey CUNNINGHAM,26 AUG 1998,USA,1303,110mH [60mH ind.]
13,Jason JOSEPH,11 OCT 1998,SUI,1300,110mH
14,Omar MCLEOD,25 APR 1994,JAM,1292,110mH
15,Aaron MALLETT,26 SEP 1994,USA,1290,110mH [60mH ind.]
16,Jamal BRITT,28 DEC 1998,USA,1290,110mH
17,Paolo DAL MOLIN,31 JUL 1987,ITA,1285,110mH
18,Orlando ORTEGA,29 JUL 1991,ESP,1284,110mH [60mH ind.]
19,Wilhem BELOCIAN,22 JUN 1995,FRA,1280,110mH [60mH ind.]
20,Shunsuke IZUMIYA,26 JAN 2000,JPN,1277,110mH
21,Milan TRAJKOVIC,17 MAR 1992,CYP,1275,110mH [60mH ind.]
22,Damion THOMAS,29 JUN 1999,JAM,1271,110mH
23,David KING,13 JUN 1994,GBR,1268,110mH [60mH ind.]
24,Just KWAOU-MATHEY,04 DEC 1999,FRA,1264,110mH [60mH ind.]
25,Eduardo RODRIGUES,08 OCT 1995,BRA,1264,110mH
26,Shane BRATHWAITE,08 FEB 1990,BAR,1258,110mH [60mH ind.]
27,Jarret EATON,24 JUN 1989,USA,1255,110mH [60mH ind.]
28,Nicholas HOUGH,20 OCT 1993,AUS,1255,110mH
29,Antonio ALKANA,12 APR 1990,RSA,1250,110mH
30,Michael OBASUYI,12 AUG 1999,BEL,1247,110mH [60mH ind.]
31,Wenjun XIE,11 JUL 1990,CHN,1246,110mH
32,Rachid MURATAKE,06 FEB 2002,JPN,1246,110mH
33,Jakub SZYMAŃSKI,22 JUL 2002,POL,1246,110mH [60mH ind.]
34,Gabriel CONSTANTINO,09 FEB 1995,BRA,1246,110mH [60mH ind.]
35,Kuei-Ru CHEN,22 SEP 1993,TPE,1244,110mH
36,Sergey SHUBENKOV,04 OCT 1990,RUS,1243,110mH
37,Petr SVOBODA,10 OCT 1984,CZE,1240,110mH [60mH ind.]
38,Valdó SZŰCS,29 JUN 1995,HUN,1239,110mH [60mH ind.]
39,Koen SMET,09 AUG 1992,NED,1239,110mH [60mH ind.]
40,Michael DICKSON,25 JAN 1997,USA,1239,110mH
41,Enrique LLOPIS,15 OCT 2000,ESP,1237,110mH [60mH ind.]
42,Yaqoub ALYOUHA,31 JAN 1993,KUW,1232,110mH [60mH ind.]
43,Wellington ZAZA,20 JAN 1995,LBR,1230,110mH [60mH ind.]
44,Amine BOUANANI,17 OCT 1997,ALG,1229,110mH
45,Freddie CRITTENDEN,03 AUG 1994,USA,1227,110mH [60mH ind.]
46,Chris DOUGLAS,10 FEB 1997,AUS,1225,110mH [60mH ind.]
47,Eric EDWARDS,03 JAN 2000,USA,1224,110mH
48,Shusei NOMOTO,25 OCT 1995,JPN,1221,110mH [60mH ind.]
49,Shunya TAKAYAMA,03 SEP 1994,JPN,1218,110mH
50,Taio KANAI,28 SEP 1995,JPN,1214,110mH
51,Tade OJORA,14 OCT 1999,GBR,1212,110mH
52,Joshua ZELLER,19 OCT 2000,GBR,1211,110mH
53,Elmo LAKKA,10 APR 1993,FIN,1210,110mH
54,Shuhei ISHIKAWA,29 MAY 1995,JPN,1208,110mH [60mH ind.]
55,Gregor TRABER,02 DEC 1992,GER,1206,110mH [60mH ind.]
56,Rasheed BROADBELL,13 AUG 2000,JAM,1205,110mH
57,Yohan CHAVERRA,21 MAR 1995,COL,1202,110mH
58,Hassane FOFANA,28 APR 1992,ITA,1201,110mH [60mH ind.]
59,Vladimir VUKICEVIC,06 MAY 1991,NOR,1201,110mH
60,Mikdat SEVLER,21 JAN 1998,TUR,1200,110mH [60mH ind.]
61,Nick ANDREWS,02 FEB 1997,AUS,1198,110mH [60mH ind.]
62,Phillip LEMONIOUS,12 DEC 1998,JAM,1198,110mH [60mH ind.]
63,Orlando BENNETT,12 OCT 1999,JAM,1195,110mH
64,Ryota FUJII,29 JUL 1996,JPN,1194,110mH
65,Jaylan MCCONICO,17 AUG 1998,USA,1193,110mH [60mH ind.]
66,Ruebin WALTERS,02 APR 1995,TTO,1192,110mH [60mH ind.]
67,Finley GAIO,15 APR 1999,SUI,1189,110mH [60mH ind.]
68,Vitali PARAKHONKA,18 AUG 1993,BLR,1187,110mH
69,Damian WARNER,04 NOV 1989,CAN,1186,110mH [60mH ind.]
70,Taiga YOKOCHI,01 OCT 2000,JPN,1186,110mH
71,Liam VAN DER SCHAAF,08 OCT 1998,NED,1185,110mH
72,Giano ROBERTS,,JAM,1181,110mH
73,Weibo QIN,29 DEC 2002,CHN,1179,110mH [60mH ind.]
74,Jamar MARSHALL,18 DEC 2001,USA,1175,110mH [60mH ind.]
75,Tai BROWN,18 APR 2000,USA,1174,110mH [60mH ind.]
76,Keiso PEDRIKS,30 APR 1994,EST,1172,110mH [60mH ind.]
77,Cameron FILLERY,02 NOV 1998,GBR,1172,110mH
78,Kentre PATTERSON,,USA,1170,110mH
79,Paris WILLIAMS,19 AUG 1998,USA,1169,110mH [60mH ind.]
80,Devon BROOKS,,USA,1169,110mH [60mH ind.]
81,Louis ROLLINS,30 SEP 1996,USA,1169,110mH [60mH ind.]
82,Fanor ESCOBAR,17 DEC 1997,COL,1168,110mH
83,Michael O'HARA,29 SEP 1996,JAM,1168,110mH
84,Lafranz CAMPBELL,19 OCT 1997,JAM,1167,110mH [60mH ind.]
85,David YEFREMOV,15 JAN 1999,KAZ,1166,110mH [60mH ind.]
86,Tre'Bien GILBERT,18 DEC 1999,USA,1166,110mH
87,Kevin SÁNCHEZ,27 MAR 1999,ESP,1165,110mH
88,Justin LEASTON,,USA,1165,110mH
89,Nicholas ANDERSON,18 APR 1995,USA,1165,110mH
90,Martin VOGEL,16 MAR 1992,GER,1164,110mH [60mH ind.]
91,Jeremie LARARAUDEUSE,31 MAR 2001,MRI,1162,110mH
92,Abdel Kader LARRINAGA,13 JUL 1994,POR,1160,110mH [60mH ind.]
93,Yusuke TAKAHASHI,05 JUL 1996,JPN,1160,110mH
94,Rasheem BROWN,22 MAR 2000,CAY,1160,110mH [60mH ind.]
95,Marcos HERRERA,30 JUN 1999,ECU,1158,110mH
96,Sam HURWOOD,07 MAR 2001,AUS,1154,110mH
97,Xiaohan NING,24 JAN 2000,CHN,1154,110mH [60mH ind.]
98,Jaheem HAYLES,20 MAR 2001,JAM,1154,110mH
99,Bálint SZELES,09 NOV 1998,HUN,1150,110mH [60mH ind.]
100,Konstantin SHABANOV,17 NOV 1989,ANA,1149,110mH [60mH ind.]
101,Daniel CISNEROS,02 JUN 1996,ESP,1148,110mH [60mH ind.]
102,Sam BRIXEY,02 MAY 1998,USA,1148,110mH [60mH ind.]
103,Raphael MOHAMED,02 FEB 1998,FRA,1148,110mH
104,Higashi ISHIDA-THOMAS,14 APR 1997,JPN,1147,110mH [60mH ind.]
105,João Vitor DE OLIVEIRA,15 MAY 1992,POR,1146,110mH [60mH ind.]
106,Darius LUFF,,USA,1146,110mH [60mH ind.]
107,Maliek KENDALL,1997,USA,1145,110mH [60mH ind.]
108,Max HRELJA,30 JAN 1998,SWE,1145,110mH [60mH ind.]
109,Lorenzo Ndele SIMONELLI,01 JUN 2002,ITA,1144,110mH
110,Max HAIRSTON,08 MAY 1994,USA,1143,110mH
111,Joel BENGTSSON,06 MAY 1999,SWE,1143,110mH [60mH ind.]
112,Bashiru ABDILLAHI,26 OCT 1997,NGR,1142,110mH [60mH ind.]
113,Filip Jakob DEMŠAR,03 APR 2000,SLO,1141,110mH [60mH ind.]
114,Santeri KUUSINIEMI,10 OCT 1998,FIN,1140,110mH [60mH ind.]
115,Luka TRGOVČEVIĆ,19 MAY 1992,SRB,1140,110mH [60mH ind.]
116,Tyrin LEWIS,23 JUN 1998,USA,1139,110mH [60mH ind.]
117,Wiseman Were MUKHOBE,13 OCT 1997,KEN,1138,110mH
118,Miguel PERERA,30 SEP 1996,GBR,1138,110mH [60mH ind.]
119,Ruan DE VRIES,01 FEB 1986,RSA,1136,110mH
120,Isaiah MOORE,12 JUN 1996,USA,1136,110mH
121,Ilari MANNINEN,11 OCT 1997,FIN,1136,110mH [60mH ind.]
122,Jeanice LAVIOLETTE,25 JAN 2000,FRA,1136,110mH [60mH ind.]
123,Anatoliy KISELYOV,05 APR 2002,RUS,1135,110mH [60mH ind.]
124,Josh BRAVERMAN,,USA,1134,110mH
125,Yidiel CONTRERAS,27 NOV 1992,ESP,1133,110mH
126,De'Vion WILSON,18 MAY 2000,USA,1133,110mH
127,Konstantinos DOUVALIDIS,10 MAR 1987,GRE,1133,110mH [60mH ind.]
128,Saguirou BADAMASSI,28 NOV 2000,NIG,1132,110mH
129,Jahmaal WILSON,30 JAN 2001,BAH,1131,110mH
130,Oscar SMITH,14 AUG 2001,BAH,1131,110mH
131,Quanlei YANG,26 OCT 1999,CHN,1131,110mH [60mH ind.]
132,Joshua BROCKMAN,,USA,1130,110mH
