Place,Competitor,DOB,Unnamed: 3,Score,Event List
1,Sergey SHUBENKOV,04 OCT 1990,RUS,1423,110mH
2,Orlando ORTEGA,29 JUL 1991,ESP,1377,110mH [60mH ind.]
3,Ronald LEVY,30 OCT 1992,JAM,1344,110mH
4,Pascal MARTINOT-LAGARDE,22 SEP 1991,FRA,1341,110mH
5,Wenjun XIE,11 JUL 1990,CHN,1319,110mH
6,Hansle PARCHMENT,17 JUN 1990,JAM,1311,110mH
6,Freddie CRITTENDEN,03 AUG 1994,USA,1311,110mH [60mH ind.]
8,Gabriel CONSTANTINO,09 FEB 1995,BRA,1303,110mH
9,Antonio ALKANA,12 APR 1990,RSA,1300,110mH
10,Andrew POZZI,15 MAY 1992,GBR,1299,110mH
11,Omar MCLEOD,25 APR 1994,JAM,1294,110mH
12,Milan TRAJKOVIC,17 MAR 1992,CYP,1292,110mH [60mH ind.]
13,Devon ALLEN,12 DEC 1994,USA,1291,110mH
14,Kuei-Ru CHEN,22 SEP 1993,TPE,1271,110mH
15,Daniel ROBERTS,13 APR 1998,USA,1269,110mH [60mH ind.]
16,Grant HOLLOWAY,19 NOV 1997,USA,1264,110mH [60mH ind.]
17,Jarret EATON,24 JUN 1989,USA,1259,110mH [60mH ind.]
18,Aurel MANGA,24 JUL 1992,FRA,1249,110mH [60mH ind.]
19,Balázs BAJI,09 JUN 1989,HUN,1248,110mH
19,Eduardo SANTOS RODRIGUES,08 OCT 1995,BRA,1248,110mH
21,Gregor TRABER,02 DEC 1992,GER,1244,110mH [60mH ind.]
22,Damian CZYKIER,10 AUG 1992,POL,1235,110mH [60mH ind.]
23,Shane BRATHWAITE,08 FEB 1990,BAR,1231,110mH
24,Shunya TAKAYAMA,03 SEP 1994,JPN,1229,110mH
25,Taio KANAI,28 SEP 1995,JPN,1227,110mH
25,Johnathan CABRAL,31 DEC 1992,CAN,1227,110mH
27,David KING,13 JUN 1994,GBR,1219,110mH [60mH ind.]
28,Yaqoub Mohamed AL YOUHA,31 JAN 1993,KUW,1215,110mH [60mH ind.]
29,Aleec HARRIS,31 OCT 1990,USA,1213,110mH [60mH ind.]
30,Konstantinos DOUVALIDIS,10 MAR 1987,GRE,1212,110mH [60mH ind.]
31,Shunsuke IZUMIYA,26 JAN 2000,JPN,1211,110mH
32,Jianhang ZENG,17 SEP 1998,CHN,1207,110mH [60mH ind.]
33,Jason JOSEPH,11 OCT 1998,SUI,1205,110mH [60mH ind.]
34,Lorenzo PERINI,22 JUL 1994,ITA,1204,110mH
35,Hassane FOFANA,28 APR 1992,ITA,1202,110mH
36,Aries MERRITT,24 JUL 1985,USA,1195,110mH
37,Isaiah MOORE,12 JUN 1996,USA,1193,110mH
38,Shuhei ISHIKAWA,29 MAY 1995,JPN,1190,110mH
39,Andrew RILEY,06 SEP 1988,JAM,1188,110mH
40,Yidiel CONTRERAS,27 NOV 1992,ESP,1186,110mH [60mH ind.]
41,Ruan DE VRIES,01 FEB 1986,RSA,1185,110mH
42,Elmo LAKKA,10 APR 1993,FIN,1183,110mH [60mH ind.]
42,Jonathas Felipe DA SILVA,30 NOV 1992,BRA,1183,110mH
44,Nicholas HOUGH,20 OCT 1993,AUS,1182,110mH
45,Greggmar SWIFT,31 JAN 1991,BAR,1181,110mH
46,Josh THOMPSON,16 JAN 1993,USA,1179,110mH [60mH ind.]
47,Erik BALNUWEIT,21 SEP 1988,GER,1178,110mH [60mH ind.]
48,Ahmad Khader ALMUWALLAD,16 FEB 1988,KSA,1177,110mH
49,Vitali PAROKHONKA,18 AUG 1993,BLR,1176,110mH [60mH ind.]
50,Trey CUNNINGHAM,26 AUG 1998,USA,1174,110mH [60mH ind.]
51,Roger IRIBARNE,02 JAN 1996,CUB,1170,110mH [60mH ind.]
52,Wilhem BELOCIAN,22 JUN 1995,FRA,1168,110mH [60mH ind.]
53,Paulo Henrique DA SILVA,29 JUN 1995,BRA,1167,110mH
54,Ruebin WALTERS,02 APR 1995,TTO,1166,110mH [60mH ind.]
54,Dashaun JACKSON,1997,USA,1166,110mH
